"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"11.08.2023","118.065","118.350","119.054","117.415","11,87M","-0,24%"
"10.08.2023","118.350","118.412","119.438","118.113","12,69M","-0,05%"
"09.08.2023","118.409","119.090","119.090","117.901","11,25M","-0,57%"
"08.08.2023","119.090","119.378","119.553","117.492","10,25M","-0,24%"
"07.08.2023","119.380","119.509","120.104","118.894","8,73M","-0,11%"
"04.08.2023","119.508","120.586","121.442","119.215","15,07M","-0,89%"
"03.08.2023","120.586","120.859","122.619","120.365","13,03M","-0,23%"
"02.08.2023","120.859","121.249","121.252","119.798","10,57M","-0,32%"
"01.08.2023","121.248","121.945","121.945","120.154","10,30M","-0,57%"
"31.07.2023","121.943","120.188","122.149","120.188","10,12M","1,46%"
"28.07.2023","120.187","120.002","120.660","119.706","8,46M","0,16%"
"27.07.2023","119.990","122.560","122.599","119.825","10,68M","-2,10%"
"26.07.2023","122.560","122.003","122.747","121.370","9,99M","0,45%"
"25.07.2023","122.008","121.344","123.010","121.344","11,43M","0,55%"
"24.07.2023","121.342","120.220","121.772","120.099","10,49M","0,94%"
"21.07.2023","120.217","118.090","120.373","118.086","11,18M","1,81%"
"20.07.2023","118.083","117.558","118.290","117.484","8,99M","0,45%"
"19.07.2023","117.552","117.842","118.011","116.660","9,73M","-0,25%"
"18.07.2023","117.841","118.218","118.732","117.324","8,58M","-0,32%"
"17.07.2023","118.219","117.711","118.302","116.591","8,20M","0,43%"
"14.07.2023","117.711","119.268","119.329","117.526","8,98M","-1,30%"
"13.07.2023","119.264","117.671","119.739","117.668","9,26M","1,36%"
"12.07.2023","117.666","117.557","119.156","117.557","8,94M","0,38%"
"11.07.2023","117.220","117.942","117.942","115.704","10,59M","-0,61%"
"10.07.2023","117.942","118.897","118.897","117.814","8,10M","-0,80%"
"07.07.2023","118.898","117.427","119.549","117.427","10,52M","1,25%"
"06.07.2023","117.426","119.548","119.548","117.096","11,03M","-1,78%"
"05.07.2023","119.549","119.072","120.200","118.688","10,96M","0,40%"
"04.07.2023","119.076","119.673","119.678","118.830","6,56M","-0,50%"
"03.07.2023","119.673","118.092","119.877","118.092","8,91M","1,34%"
"30.06.2023","118.087","118.388","119.447","118.087","13,82M","-0,25%"
"29.06.2023","118.383","116.683","118.623","116.683","11,06M","1,46%"
"28.06.2023","116.681","117.524","117.937","116.560","10,65M","-0,72%"
"27.06.2023","117.523","118.246","119.212","116.561","13,08M","-0,61%"
"26.06.2023","118.243","118.977","119.148","117.491","10,46M","-0,62%"
"23.06.2023","118.977","118.959","119.386","118.178","12,85M","0,04%"
"22.06.2023","118.934","120.420","120.420","118.018","11,83M","-1,23%"
"21.06.2023","120.420","119.623","120.519","119.332","11,74M","0,67%"
"20.06.2023","119.622","119.858","119.858","118.416","10,92M","-0,20%"
"19.06.2023","119.858","118.757","119.939","118.558","6,78M","0,93%"
"16.06.2023","118.758","119.208","119.555","118.487","15,25M","-0,39%"
"15.06.2023","119.221","119.068","119.686","118.693","12,30M","0,13%"
"14.06.2023","119.069","116.753","119.085","116.745","16,94M","1,99%"
"13.06.2023","116.743","117.337","117.924","116.363","12,39M","-0,51%"
"12.06.2023","117.336","117.022","117.735","116.704","12,02M","0,27%"
"09.06.2023","117.019","115.489","117.603","115.489","13,53M","1,33%"
"07.06.2023","115.488","114.610","115.978","114.610","14,02M","0,77%"
"06.06.2023","114.610","112.697","114.783","112.696","15,03M","1,70%"
"05.06.2023","112.696","112.558","113.071","111.736","9,08M","0,12%"
"02.06.2023","112.558","110.568","113.070","110.567","14,55M","1,80%"
"01.06.2023","110.565","108.339","110.745","108.335","14,67M","2,06%"
"31.05.2023","108.335","108.967","109.137","108.193","15,86M","-0,58%"
"30.05.2023","108.967","110.333","111.291","108.552","11,59M","-1,24%"
"29.05.2023","110.333","110.906","111.168","110.195","5,91M","-0,52%"
"26.05.2023","110.906","110.058","111.706","109.900","11,02M","0,77%"
"25.05.2023","110.054","108.800","111.115","108.800","14,75M","1,15%"
"24.05.2023","108.800","109.920","109.920","108.546","12,98M","-1,03%"
"23.05.2023","109.929","110.213","111.325","109.713","12,33M","-0,26%"
